received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-15T20:37:12.381262+00:00,73,52610,128x,300ms,25,64,0,1358,3503,4130,4139,9385,9177,6823,2738,2116,24861
2026-09-15T20:37:13.110058+00:00,74,53336,128x,300ms,25,64,0,1388,3436,4206,4222,9149,9231,6717,2693,1882,23921
2026-09-15T20:37:14.518412+00:00,75,54062,128x,300ms,25,64,0,1349,3290,4146,4108,7665,7402,6120,2333,2050,22820
2026-09-15T20:37:15.237291+00:00,76,54788,128x,300ms,25,64,1,235,667,783,752,416,308,346,136,325,1770
2026-09-15T20:37:15.957518+00:00,77,55512,128x,300ms,25,64,1,32,234,222,753,487,156,84,56,31,951
2026-09-15T20:37:16.678142+00:00,78,56232,128x,300ms,25,64,1,65,535,474,1518,548,177,92,66,40,1449
2026-09-15T20:37:17.405187+00:00,79,56954,128x,300ms,25,64,1,69,561,499,1568,555,179,93,68,43,1659
2026-09-15T20:37:18.125415+00:00,80,57676,128x,300ms,25,64,1,67,546,484,1530,545,176,91,66,42,1610
2026-09-15T20:37:18.845858+00:00,81,58398,128x,300ms,25,64,0,66,545,484,1529,545,176,92,66,42,1607
2026-09-15T20:37:19.573861+00:00,82,59120,128x,300ms,25,64,0,66,545,483,1528,545,176,91,66,42,1602
2026-09-15T20:37:20.293590+00:00,83,59843,128x,300ms,25,64,0,66,544,482,1527,545,176,92,66,41,1589
2026-09-15T20:37:21.013416+00:00,84,60566,128x,300ms,25,64,0,67,545,483,1527,544,176,92,66,42,1626
2026-09-15T20:37:21.734325+00:00,85,61288,128x,300ms,25,64,0,66,544,483,1526,545,176,92,66,42,1594
2026-09-15T20:37:22.454753+00:00,86,62011,128x,300ms,25,64,1,66,546,484,1530,545,176,92,66,42,1593
2026-09-15T20:37:23.183024+00:00,87,62733,128x,300ms,25,64,1,67,546,484,1530,546,176,92,66,41,1593
2026-09-15T20:37:23.902341+00:00,88,63454,128x,300ms,25,64,1,67,546,484,1529,546,176,92,66,42,1594
2026-09-15T20:37:24.622026+00:00,89,64176,128x,300ms,25,64,1,67,546,484,1530,546,176,92,66,42,1593
2026-09-15T20:37:25.341417+00:00,90,64898,128x,300ms,25,64,1,67,546,484,1530,547,177,92,66,42,1593
2026-09-15T20:37:26.070489+00:00,91,65619,128x,300ms,25,64,0,67,547,484,1529,546,176,92,66,41,1594
2026-09-15T20:37:26.789267+00:00,92,66342,128x,300ms,25,64,0,67,547,484,1530,546,176,92,66,42,1593
2026-09-15T20:37:27.510313+00:00,93,67064,128x,300ms,25,64,0,67,546,484,1530,546,176,92,66,41,1593
2026-09-15T20:37:28.230154+00:00,94,67787,128x,300ms,25,64,0,66,547,484,1531,546,176,92,66,42,1593
2026-09-15T20:37:28.949352+00:00,95,68509,128x,300ms,25,64,0,66,546,485,1531,547,176,92,66,42,1593
2026-09-15T20:37:29.670841+00:00,96,69231,128x,300ms,25,64,1,66,547,484,1530,546,177,92,66,41,1593
2026-09-15T20:37:30.397933+00:00,97,69953,128x,300ms,25,64,1,67,547,485,1530,546,176,92,66,42,1593
2026-09-15T20:37:31.117496+00:00,98,70675,128x,300ms,25,64,1,67,547,484,1531,546,176,92,66,41,1593
2026-09-15T20:37:31.838539+00:00,99,71397,128x,300ms,25,64,1,66,547,484,1530,546,176,92,66,42,1594
2026-09-15T20:37:32.557221+00:00,100,72119,128x,300ms,25,64,1,67,547,484,1530,546,176,92,67,42,1592
2026-09-15T20:37:33.285229+00:00,101,72841,128x,300ms,25,64,0,67,547,484,1531,546,176,92,66,42,1593
2026-09-15T20:37:34.005415+00:00,102,73563,128x,300ms,25,64,0,67,547,484,1530,546,176,92,66,42,1592
2026-09-15T20:37:34.725138+00:00,103,74286,128x,300ms,25,64,0,67,547,484,1530,546,176,92,66,42,1593
2026-09-15T20:37:35.445702+00:00,104,75008,128x,300ms,25,64,0,67,547,484,1530,546,176,92,66,42,1593
2026-09-15T20:37:36.174007+00:00,105,75730,128x,300ms,25,64,0,66,547,484,1530,546,176,92,66,42,1593
2026-09-15T20:37:36.893805+00:00,106,76452,128x,300ms,25,64,1,67,546,484,1530,546,176,92,66,42,1593
2026-09-15T20:37:37.613957+00:00,107,77175,128x,300ms,25,64,1,66,547,484,1530,546,176,92,66,42,1594
2026-09-15T20:37:38.333965+00:00,108,77897,128x,300ms,25,64,1,67,547,485,1530,546,176,92,66,42,1593
2026-09-15T20:37:39.054442+00:00,109,78619,128x,300ms,25,64,1,67,547,484,1530,546,177,91,66,41,1593
2026-09-15T20:37:39.781560+00:00,110,79340,128x,300ms,25,64,1,67,547,484,1530,546,176,92,66,41,1592
2026-09-15T20:37:40.501982+00:00,111,80063,128x,300ms,25,64,0,67,547,485,1530,547,176,92,66,42,1593
2026-09-15T20:37:41.221491+00:00,112,80785,128x,300ms,25,64,0,67,547,485,1530,547,176,92,66,41,1593
2026-09-15T20:37:41.949827+00:00,113,81508,128x,300ms,25,64,0,67,547,485,1530,546,176,92,66,42,1592
2026-09-15T20:37:42.669369+00:00,114,82230,128x,300ms,25,64,0,67,547,485,1530,547,176,92,66,42,1592
2026-09-15T20:37:43.390170+00:00,115,82953,128x,300ms,25,64,0,67,547,484,1530,546,176,92,66,41,1593
2026-09-15T20:37:44.110325+00:00,116,83675,128x,300ms,25,64,1,67,547,484,1530,546,176,92,66,42,1592
2026-09-15T20:37:44.830045+00:00,117,84397,128x,300ms,25,64,1,67,547,484,1530,546,176,91,66,42,1591
2026-09-15T20:37:45.557284+00:00,118,85118,128x,300ms,25,64,1,67,547,484,1530,546,176,92,66,41,1593
2026-09-15T20:37:46.277635+00:00,119,85840,128x,300ms,25,64,1,67,547,484,1530,546,176,92,66,42,1592
2026-09-15T20:37:46.997997+00:00,120,86562,128x,300ms,25,64,1,67,547,484,1529,546,177,92,66,42,1592
2026-09-15T20:37:47.725380+00:00,121,87284,128x,300ms,25,64,0,66,547,484,1530,546,176,92,66,41,1592
2026-09-15T20:37:48.445215+00:00,122,88007,128x,300ms,25,64,0,67,547,484,1529,546,176,92,66,41,1592
2026-09-15T20:37:49.165130+00:00,123,88730,128x,300ms,25,64,0,66,547,484,1529,546,176,92,66,42,1592
2026-09-15T20:37:49.886044+00:00,124,89452,128x,300ms,25,64,0,67,547,484,1530,546,176,92,67,42,1592
2026-09-15T20:37:50.613771+00:00,125,90175,128x,300ms,25,64,0,66,547,484,1529,546,176,92,66,42,1593
2026-09-15T20:37:51.333505+00:00,126,90897,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:37:52.053411+00:00,127,91619,128x,300ms,25,64,1,66,547,484,1529,546,176,92,66,42,1591
2026-09-15T20:37:52.774041+00:00,128,92342,128x,300ms,25,64,1,67,547,484,1529,546,176,92,66,42,1592
2026-09-15T20:37:53.493427+00:00,129,93064,128x,300ms,25,64,1,66,547,484,1529,546,176,92,66,42,1592
2026-09-15T20:37:54.221405+00:00,130,93786,128x,300ms,25,64,1,67,548,484,1529,546,176,92,66,42,1592
2026-09-15T20:37:54.941721+00:00,131,94508,128x,300ms,25,64,0,67,547,484,1529,546,176,92,66,42,1592
2026-09-15T20:37:55.661360+00:00,132,95230,128x,300ms,25,64,0,67,547,485,1529,546,177,92,66,42,1592
2026-09-15T20:37:56.390569+00:00,133,95952,128x,300ms,25,64,0,67,547,484,1529,546,176,92,66,42,1592
2026-09-15T20:37:57.110220+00:00,134,96675,128x,300ms,25,64,0,67,547,484,1529,546,176,92,66,41,1592
